Version,OS,Product Locale,Redirect this link,In-product link,English URL,Target URL,0,Articles to go
,,ach,https://support.mozilla.org/kb/insecure-password-warning-firefox-ach,https://support.mozilla.org/kb/insecure-password-warning-firefox,https://support.mozilla.org/t5/Protect-your-privacy/Insecure-password-warning-in-Firefox/ta-p/27861,https://support.mozilla.org/t5/Protect-your-privacy/Insecure-password-warning-in-Firefox/ta-p/27861,,
,,af,https://support.mozilla.org/kb/insecure-password-warning-firefox-af,https://support.mozilla.org/kb/insecure-password-warning-firefox,https://support.mozilla.org/t5/Protect-your-privacy/Insecure-password-warning-in-Firefox/ta-p/27861,https://support.mozilla.org/t5/Protect-your-privacy/Insecure-password-warning-in-Firefox/ta-p/27861,,
,,an,https://support.mozilla.org/kb/insecure-password-warning-firefox-an,https://support.mozilla.org/kb/insecure-password-warning-firefox,https://support.mozilla.org/t5/Protect-your-privacy/Insecure-password-warning-in-Firefox/ta-p/27861,https://support.mozilla.org/t5/Protect-your-privacy/Insecure-password-warning-in-Firefox/ta-p/27861,,
,,ar,https://support.mozilla.org/kb/insecure-password-warning-firefox-ar,https://support.mozilla.org/kb/insecure-password-warning-firefox,https://support.mozilla.org/t5/Protect-your-privacy/Insecure-password-warning-in-Firefox/ta-p/27861,https://support.mozilla.org/t5/Protect-your-privacy/Insecure-password-warning-in-Firefox/ta-p/27861,,
,,as,https://support.mozilla.org/kb/insecure-password-warning-firefox-as,https://support.mozilla.org/kb/insecure-password-warning-firefox,https://support.mozilla.org/t5/Protect-your-privacy/Insecure-password-warning-in-Firefox/ta-p/27861,https://support.mozilla.org/t5/Protect-your-privacy/Insecure-password-warning-in-Firefox/ta-p/27861,,
,,ast,https://support.mozilla.org/kb/insecure-password-warning-firefox-ast,https://support.mozilla.org/kb/insecure-password-warning-firefox,https://support.mozilla.org/t5/Protect-your-privacy/Insecure-password-warning-in-Firefox/ta-p/27861,https://support.mozilla.org/t5/Protect-your-privacy/Insecure-password-warning-in-Firefox/ta-p/27861,,
,,az,https://support.mozilla.org/kb/insecure-password-warning-firefox-az,https://support.mozilla.org/kb/insecure-password-warning-firefox,https://support.mozilla.org/t5/Protect-your-privacy/Insecure-password-warning-in-Firefox/ta-p/27861,https://support.mozilla.org/t5/Protect-your-privacy/Insecure-password-warning-in-Firefox/ta-p/27861,,
,,bg,https://support.mozilla.org/kb/insecure-password-warning-firefox-bg,https://support.mozilla.org/kb/insecure-password-warning-firefox,https://support.mozilla.org/t5/Protect-your-privacy/Insecure-password-warning-in-Firefox/ta-p/27861,https://support.mozilla.org/t5/Protect-your-privacy/Insecure-password-warning-in-Firefox/ta-p/27861,,
,,bn-BD,https://support.mozilla.org/kb/insecure-password-warning-firefox-bn-BD,https://support.mozilla.org/kb/insecure-password-warning-firefox,https://support.mozilla.org/t5/Protect-your-privacy/Insecure-password-warning-in-Firefox/ta-p/27861,https://support.mozilla.org/t5/Protect-your-privacy/Insecure-password-warning-in-Firefox/ta-p/27861,,
,,bn-IN,https://support.mozilla.org/kb/insecure-password-warning-firefox-bn-IN,https://support.mozilla.org/kb/insecure-password-warning-firefox,https://support.mozilla.org/t5/Protect-your-privacy/Insecure-password-warning-in-Firefox/ta-p/27861,https://support.mozilla.org/t5/Protect-your-privacy/Insecure-password-warning-in-Firefox/ta-p/27861,,
,,br,https://support.mozilla.org/kb/insecure-password-warning-firefox-br,https://support.mozilla.org/kb/insecure-password-warning-firefox,https://support.mozilla.org/t5/Protect-your-privacy/Insecure-password-warning-in-Firefox/ta-p/27861,https://support.mozilla.org/t5/Protect-your-privacy/Insecure-password-warning-in-Firefox/ta-p/27861,,
,,bs,https://support.mozilla.org/kb/insecure-password-warning-firefox-bs,https://support.mozilla.org/kb/insecure-password-warning-firefox,https://support.mozilla.org/t5/Protect-your-privacy/Insecure-password-warning-in-Firefox/ta-p/27861,https://support.mozilla.org/t5/Protect-your-privacy/Insecure-password-warning-in-Firefox/ta-p/27861,,
,,ca,https://support.mozilla.org/kb/insecure-password-warning-firefox-ca,https://support.mozilla.org/kb/insecure-password-warning-firefox,https://support.mozilla.org/t5/Protect-your-privacy/Insecure-password-warning-in-Firefox/ta-p/27861,https://support.mozilla.org/t5/Protect-your-privacy/Insecure-password-warning-in-Firefox/ta-p/27861,,
