document-uri,effective-directive,blocked-uri,source-file,line-number,column-number,0
,script-src,https://code.jquery.com/jquery-3.1.0.min.js,https://dataloading.net/j/ijs?id=BAAAF2BB-B501-539A-A15D-03476E889259&d=3168a8ab-1bcf-41ba-a65d-762b1336fdca&cl=upd,28,45,1
about:blank,connect-src,http://ad.lkqd.net/mediafile/blocking_regex,https://ad.lkqd.net/vpaid/vpaid.js?fusion=1.0,1,263292,45
about:blank,connect-src,http://ad.lkqd.net/mediafile/blocking_regex,https://ad.lkqd.net/vpaid/vpaid.js?fusion=1.0,1,263679,46
about:blank,connect-src,"http://adserver.genesismediaus.com/ac?vpaidt=js&vpaidv=1,2&pgDomain=https%3A%2F%2Fsupport.mozilla.org%2Ft5%2FBasics%2FSwitching-the-folder-pane-view%2Fta-p%2F15948&siteid=123768&pgid=719478&fmtid=31361&ab=1&oc=1&out=vast&ps=1&pb=9&visit=S&vcn=s&tmstp=1492065135590&vph=300&vpw=400&tgt=aiid=6629978;aiid=6629984;aiid=6629979;aiid=6670917;aiid=5905817;aiid=5512711;aiid=6641508;aiid=6670566;aiid=6583390;aiid=6670860;abbr=${aud_ids:;abbr=}",https://dzga99c7xcvph.cloudfront.net/vpaid.js?gam_partner_name=AllAspect&enableMoat=true&optalg=domain&useWham=true&adXmlUrl=http%3A%2F%2Fad.crwdcntrl.net%2F5%2Fc%3D1890%2Fpe%3Dy%3Fhttp%3A%2F%2Fadserver.genesismediaus.com%2Fac%3Fsiteid%3D123768%26pgid%3D719478%26fmtid%3D31361%26ab%3D1%26oc%3D1%26out%3Dvast%26ps%3D10%26pb%3D0%26visit%3DS%26vcn%3Ds%26tmstp%3D%5Btimestamp%5D%26vph%3D%5BPLAYER_HEIGHT%5D%26vpw%3D%5BPLAYER_WIDTH%5D%26tgt%3Dabbr%253D%24%7Baud_ids%3A%253Babbr%253D%7D%0A&kw_domain=,1,25905,1
about:blank,connect-src,http://as.eu.angsrvr.com/select?type=dyn&plc=1083253&cache=524448886&ang_domain=https%3a%2f%2fsupport.mozilla.org%2ft5%2fSincronize-e-salve%2ftkb-p%2fsync-and-save-kb-pt-br&ang_ref=https%3a%2f%2fsupport.mozilla.org%2ft5%2fSincronize-e-salve%2ftkb-p%2fsync-and-save-kb-pt-br&ang_page=https%3a%2f%2fsupport.mozilla.org%2ft5%2fSincronize-e-salve%2ftkb-p%2fsync-and-save-kb-pt-br&ang_width=640&ang_height=480&ang_vpaid=true,https://cdn.optimatic.com/opti-vast-client/opti-vast-client-1.1.6.js,11,22544,1
about:blank,connect-src,http://as.eu.angsrvr.com/select?type=dyn&plc=1083253&cache=594802610&ang_domain=https%3a%2f%2fsupport.mozilla.org%2ft5%2fSincronize-e-salve%2fComo-definir-quais-informa%25C3%25A7%25C3%25B5es-sincronizar-no-Firefox%2fta-p%2f10661%23w_gerenciar-informaadaies-de-sincronizaadaco-em-um-computador&ang_ref=https%3a%2f%2fsupport.mozilla.org%2ft5%2fSincronize-e-salve%2fComo-definir-quais-informa%25C3%25A7%25C3%25B5es-sincronizar-no-Firefox%2fta-p%2f10661%23w_gerenciar-informaadaies-de-sincronizaadaco-em-um-computador&ang_page=https%3a%2f%2fsupport.mozilla.org%2ft5%2fSincronize-e-salve%2fComo-definir-quais-informa%25C3%25A7%25C3%25B5es-sincronizar-no-Firefox%2fta-p%2f10661%23w_gerenciar-informaadaies-de-sincronizaadaco-em-um-computador&ang_width=640&ang_height=480&ang_vpaid=true,https://cdn.optimatic.com/opti-vast-client/opti-vast-client-1.1.6.js,11,22544,1
about:blank,connect-src,http://as.eu.angsrvr.com/select?type=dyn&plc=1083253&cache=728207276&ang_domain=https%3a%2f%2fsupport.mozilla.org%2ft5%2fSincronize-e-salve%2ftkb-p%2fsync-and-save-kb-pt-br&ang_ref=https%3a%2f%2fsupport.mozilla.org%2ft5%2fSincronize-e-salve%2ftkb-p%2fsync-and-save-kb-pt-br&ang_page=https%3a%2f%2fsupport.mozilla.org%2ft5%2fSincronize-e-salve%2ftkb-p%2fsync-and-save-kb-pt-br&ang_width=640&ang_height=480&ang_vpaid=true,https://cdn.optimatic.com/opti-vast-client/opti-vast-client-1.1.6.js,11,22648,1
about:blank,connect-src,http://as.eu.angsrvr.com/select?type=dyn&plc=1083253&cache=819533701&ang_domain=https%3a%2f%2fsupport.mozilla.org%2ft5%2fFirefox%2fct-p%2fFirefox-pt-br&ang_ref=https%3a%2f%2fsupport.mozilla.org%2ft5%2fFirefox%2fct-p%2fFirefox-pt-br&ang_page=https%3a%2f%2fsupport.mozilla.org%2ft5%2fFirefox%2fct-p%2fFirefox-pt-br&ang_width=640&ang_height=480&ang_vpaid=true,https://cdn.optimatic.com/opti-vast-client/opti-vast-client-1.1.6.js,11,22544,1
about:blank,connect-src,http://as.eu.angsrvr.com/select?type=dyn&plc=1083253&cache=819533701&ang_domain=https%3a%2f%2fsupport.mozilla.org%2ft5%2fFirefox%2fct-p%2fFirefox-pt-br&ang_ref=https%3a%2f%2fsupport.mozilla.org%2ft5%2fFirefox%2fct-p%2fFirefox-pt-br&ang_page=https%3a%2f%2fsupport.mozilla.org%2ft5%2fFirefox%2fct-p%2fFirefox-pt-br&ang_width=640&ang_height=480&ang_vpaid=true,https://cdn.optimatic.com/opti-vast-client/opti-vast-client-1.1.6.js,11,22648,1
about:blank,connect-src,http://as.eu.angsrvr.com/select?type=dyn&plc=1083253&cache=913300098&ang_domain=https%3a%2f%2fsupport.mozilla.org%2ft5%2fSincronize-e-salve%2fComo-fa%25C3%25A7o-para-configurar-o-Sync-no-meu-computador%2fta-p%2f5863&ang_ref=https%3a%2f%2fsupport.mozilla.org%2ft5%2fSincronize-e-salve%2fComo-fa%25C3%25A7o-para-configurar-o-Sync-no-meu-computador%2fta-p%2f5863&ang_page=https%3a%2f%2fsupport.mozilla.org%2ft5%2fSincronize-e-salve%2fComo-fa%25C3%25A7o-para-configurar-o-Sync-no-meu-computador%2fta-p%2f5863&ang_width=640&ang_height=480&ang_vpaid=true,https://cdn.optimatic.com/opti-vast-client/opti-vast-client-1.1.6.js,11,22648,1
about:blank,connect-src,http://as.eu.angsrvr.com/select?type=dyn&plc=1083253&cache=984045556&ang_domain=https%3a%2f%2fsupport.mozilla.org%2ft5%2fSincronize-e-salve%2ftkb-p%2fsync-and-save-kb-pt-br&ang_ref=https%3a%2f%2fsupport.mozilla.org%2ft5%2fSincronize-e-salve%2ftkb-p%2fsync-and-save-kb-pt-br&ang_page=https%3a%2f%2fsupport.mozilla.org%2ft5%2fSincronize-e-salve%2ftkb-p%2fsync-and-save-kb-pt-br&ang_width=640&ang_height=480&ang_vpaid=true,https://cdn.optimatic.com/opti-vast-client/opti-vast-client-1.1.6.js,11,22544,1
about:blank,connect-src,http://ssp.lkqd.net/ad?pid=137&sid=205876&output=vastvpaid&support=html5flash&execution=any&placement=&playinit=auto&volume=0&width=640&height=480&dnt=[DO_NOT_TRACK]&ip=177.19.71.197&ua=Mozilla%2f5.0+(Windows+NT+6.1%3b+WOW64)+AppleWebKit%2f537.36+(KHTML%2c+like+Gecko)+Chrome%2f58.0.2988.0+Safari%2f537.36&pageurl=https%3a%2f%2fsupport.mozilla.org%2ft5%2fSincronize-e-salve%2fVisualize-abas-sincronizadas-a-partir-de-outros-dispositivos%2fta-p%2f38579&contentid=UKylJwCSwrHM&contenttitle=&contentlength=[CONTENT_LENGTH]&contenturl=[CONTENT_URL]&rnd=653540947,https://cdn.optimatic.com/opti-vast-client/opti-vast-client-1.1.6.js,11,22648,1
