Link,Firefox locale,Redirect to (for Lithium)
https://support.mozilla.org/kb/focus-default-android-en,en,https://support.mozilla.org/t5/Firefox-Focus-for-Android/Set-Firefox-Focus-as-default-browser-on-Android/ta-p/1381503
https://support.mozilla.org/kb/klar-default-android-de,de,https://support.mozilla.org/t5/Firefox-Focus-for-Android/Set-Firefox-Focus-as-default-browser-on-Android/ta-p/1381503
https://support.mozilla.org/kb/focus-default-android-fr,fr,https://support.mozilla.org/t5/Firefox-Focus-for-Android/Set-Firefox-Focus-as-default-browser-on-Android/ta-p/1381503
https://support.mozilla.org/kb/focus-default-android-cn,cn,https://support.mozilla.org/t5/Firefox-Focus-for-Android/Set-Firefox-Focus-as-default-browser-on-Android/ta-p/1381503
https://support.mozilla.org/kb/focus-default-android-hi-IN,hi-IN,https://support.mozilla.org/t5/Firefox-Focus-for-Android/Set-Firefox-Focus-as-default-browser-on-Android/ta-p/1381503
https://support.mozilla.org/kb/focus-default-android-es,es,https://support.mozilla.org/t5/Firefox-Focus-for-Android/Set-Firefox-Focus-as-default-browser-on-Android/ta-p/1381503
https://support.mozilla.org/kb/focus-default-android-ru,ru,https://support.mozilla.org/t5/Firefox-Focus-for-Android/Set-Firefox-Focus-as-default-browser-on-Android/ta-p/1381503
https://support.mozilla.org/kb/focus-default-android-jp,jp,https://support.mozilla.org/t5/Firefox-Focus-for-Android/Set-Firefox-Focus-as-default-browser-on-Android/ta-p/1381503
https://support.mozilla.org/kb/focus-default-android-it,it,https://support.mozilla.org/t5/Firefox-Focus-for-Android/Set-Firefox-Focus-as-default-browser-on-Android/ta-p/1381503
https://support.mozilla.org/kb/focus-default-android-pt,pt,https://support.mozilla.org/t5/Firefox-Focus-for-Android/Set-Firefox-Focus-as-default-browser-on-Android/ta-p/1381503
https://support.mozilla.org/kb/focus-default-android-id,id,https://support.mozilla.org/t5/Firefox-Focus-for-Android/Set-Firefox-Focus-as-default-browser-on-Android/ta-p/1381503
https://support.mozilla.org/kb/focus-default-android-pl,pl,https://support.mozilla.org/t5/Firefox-Focus-for-Android/Set-Firefox-Focus-as-default-browser-on-Android/ta-p/1381503https://support.mozilla.org/kb/focus-android-en,en,https://support.mozilla.org/t5/Get-Started/What-is-Firefox-Focus-for-Android/ta-p/1381437
https://support.mozilla.org/kb/klar-android-de,de,https://support.mozilla.org/t5/Get-Started/What-is-Firefox-Focus-for-Android/ta-p/1381437
https://support.mozilla.org/kb/focus-android-fr,fr,https://support.mozilla.org/t5/Get-Started/What-is-Firefox-Focus-for-Android/ta-p/1381437
https://support.mozilla.org/kb/focus-android-cn,cn,https://support.mozilla.org/t5/Get-Started/What-is-Firefox-Focus-for-Android/ta-p/1381437
https://support.mozilla.org/kb/focus-android-hi-IN,hi-IN,https://support.mozilla.org/t5/Get-Started/What-is-Firefox-Focus-for-Android/ta-p/1381437
https://support.mozilla.org/kb/focus-android-es,es,https://support.mozilla.org/t5/Get-Started/What-is-Firefox-Focus-for-Android/ta-p/1381437
https://support.mozilla.org/kb/focus-android-ru,ru,https://support.mozilla.org/t5/Get-Started/What-is-Firefox-Focus-for-Android/ta-p/1381437
https://support.mozilla.org/kb/focus-android-jp,jp,https://support.mozilla.org/t5/Get-Started/What-is-Firefox-Focus-for-Android/ta-p/1381437
https://support.mozilla.org/kb/focus-android-it,it,https://support.mozilla.org/t5/Get-Started/What-is-Firefox-Focus-for-Android/ta-p/1381437
https://support.mozilla.org/kb/focus-android-pt,pt,https://support.mozilla.org/t5/Get-Started/What-is-Firefox-Focus-for-Android/ta-p/1381437
https://support.mozilla.org/kb/focus-android-id,id,https://support.mozilla.org/t5/Get-Started/What-is-Firefox-Focus-for-Android/ta-p/1381437
https://support.mozilla.org/kb/focus-android-pl,pl,https://support.mozilla.org/t5/Get-Started/What-is-Firefox-Focus-for-Android/ta-p/1381437
