Version,OS,Product Locale,Redirect this link,In-product link,English URL,Target URL,0,Articles to go`
,,hsb,https://support.mozilla.org/kb/troubleshoot-and-diagnose-firefox-problems-hsb,https://support.mozilla.org/kb/troubleshoot-and-diagnose-firefox-problems,https://support.mozilla.org/t5/Procedures-to-diagnose-and-fix/Troubleshoot-and-diagnose-Firefox-problems/ta-p/1032,https://support.mozilla.org/t5/Procedures-to-diagnose-and-fix/Problemy-Firefox-diagnostic%C4%9Browa%C4%87-a-rozrisa%C4%87/ta-p/38687,,
,,hu,https://support.mozilla.org/kb/troubleshoot-and-diagnose-firefox-problems-hu,https://support.mozilla.org/kb/troubleshoot-and-diagnose-firefox-problems,https://support.mozilla.org/t5/Procedures-to-diagnose-and-fix/Troubleshoot-and-diagnose-Firefox-problems/ta-p/1032,https://support.mozilla.org/t5/Procedures-to-diagnose-and-fix/Hibakeres%C3%A9s-%C3%A9s-probl%C3%A9ma-megold%C3%A1s-Firefoxban/ta-p/15404,,
,,hy-AM,https://support.mozilla.org/kb/troubleshoot-and-diagnose-firefox-problems-hy-AM,https://support.mozilla.org/kb/troubleshoot-and-diagnose-firefox-problems,https://support.mozilla.org/t5/Procedures-to-diagnose-and-fix/Troubleshoot-and-diagnose-Firefox-problems/ta-p/1032,https://support.mozilla.org/t5/Procedures-to-diagnose-and-fix/Troubleshoot-and-diagnose-Firefox-problems/ta-p/1032,,
,,id,https://support.mozilla.org/kb/troubleshoot-and-diagnose-firefox-problems-id,https://support.mozilla.org/kb/troubleshoot-and-diagnose-firefox-problems,https://support.mozilla.org/t5/Procedures-to-diagnose-and-fix/Troubleshoot-and-diagnose-Firefox-problems/ta-p/1032,https://support.mozilla.org/t5/Procedures-to-diagnose-and-fix/Troubleshoot-and-diagnose-Firefox-problems/ta-p/1032,,
,,is,https://support.mozilla.org/kb/troubleshoot-and-diagnose-firefox-problems-is,https://support.mozilla.org/kb/troubleshoot-and-diagnose-firefox-problems,https://support.mozilla.org/t5/Procedures-to-diagnose-and-fix/Troubleshoot-and-diagnose-Firefox-problems/ta-p/1032,https://support.mozilla.org/t5/Procedures-to-diagnose-and-fix/Troubleshoot-and-diagnose-Firefox-problems/ta-p/1032,,
,,it,https://support.mozilla.org/kb/troubleshoot-and-diagnose-firefox-problems-it,https://support.mozilla.org/kb/troubleshoot-and-diagnose-firefox-problems,https://support.mozilla.org/t5/Procedures-to-diagnose-and-fix/Troubleshoot-and-diagnose-Firefox-problems/ta-p/1032,https://support.mozilla.org/t5/Proteggi-la-tua-privacy/Procedure-standard-per-la-risoluzione-dei-problemi/ta-p/11343,,
,,ja,https://support.mozilla.org/kb/troubleshoot-and-diagnose-firefox-problems-ja,https://support.mozilla.org/kb/troubleshoot-and-diagnose-firefox-problems,https://support.mozilla.org/t5/Procedures-to-diagnose-and-fix/Troubleshoot-and-diagnose-Firefox-problems/ta-p/1032,https://support.mozilla.org/t5/Procedures-to-diagnose-and-fix/%E5%9F%BA%E6%9C%AC%E7%9A%84%E3%81%AA%E3%83%88%E3%83%A9%E3%83%96%E3%83%AB%E3%82%B7%E3%83%A5%E3%83%BC%E3%83%86%E3%82%A3%E3%83%B3%E3%82%B0/ta-p/9019,,
,,ja-JP-mac,https://support.mozilla.org/kb/troubleshoot-and-diagnose-firefox-problems-ja-JP-mac,https://support.mozilla.org/kb/troubleshoot-and-diagnose-firefox-problems,https://support.mozilla.org/t5/Procedures-to-diagnose-and-fix/Troubleshoot-and-diagnose-Firefox-problems/ta-p/1032,https://support.mozilla.org/t5/Procedures-to-diagnose-and-fix/%E5%9F%BA%E6%9C%AC%E7%9A%84%E3%81%AA%E3%83%88%E3%83%A9%E3%83%96%E3%83%AB%E3%82%B7%E3%83%A5%E3%83%BC%E3%83%86%E3%82%A3%E3%83%B3%E3%82%B0/ta-p/9019,,
,,ka,https://support.mozilla.org/kb/troubleshoot-and-diagnose-firefox-problems-ka,https://support.mozilla.org/kb/troubleshoot-and-diagnose-firefox-problems,https://support.mozilla.org/t5/Procedures-to-diagnose-and-fix/Troubleshoot-and-diagnose-Firefox-problems/ta-p/1032,https://support.mozilla.org/t5/Procedures-to-diagnose-and-fix/Troubleshoot-and-diagnose-Firefox-problems/ta-p/1032,,
,,kab,https://support.mozilla.org/kb/troubleshoot-and-diagnose-firefox-problems-kab,https://support.mozilla.org/kb/troubleshoot-and-diagnose-firefox-problems,https://support.mozilla.org/t5/Procedures-to-diagnose-and-fix/Troubleshoot-and-diagnose-Firefox-problems/ta-p/1032,https://support.mozilla.org/t5/Procedures-to-diagnose-and-fix/Troubleshoot-and-diagnose-Firefox-problems/ta-p/1032,,
,,kk,https://support.mozilla.org/kb/troubleshoot-and-diagnose-firefox-problems-kk,https://support.mozilla.org/kb/troubleshoot-and-diagnose-firefox-problems,https://support.mozilla.org/t5/Procedures-to-diagnose-and-fix/Troubleshoot-and-diagnose-Firefox-problems/ta-p/1032,https://support.mozilla.org/t5/Procedures-to-diagnose-and-fix/Troubleshoot-and-diagnose-Firefox-problems/ta-p/1032,,
,,km,https://support.mozilla.org/kb/troubleshoot-and-diagnose-firefox-problems-km,https://support.mozilla.org/kb/troubleshoot-and-diagnose-firefox-problems,https://support.mozilla.org/t5/Procedures-to-diagnose-and-fix/Troubleshoot-and-diagnose-Firefox-problems/ta-p/1032,https://support.mozilla.org/t5/Procedures-to-diagnose-and-fix/Troubleshoot-and-diagnose-Firefox-problems/ta-p/1032,,
,,kn,https://support.mozilla.org/kb/troubleshoot-and-diagnose-firefox-problems-kn,https://support.mozilla.org/kb/troubleshoot-and-diagnose-firefox-problems,https://support.mozilla.org/t5/Procedures-to-diagnose-and-fix/Troubleshoot-and-diagnose-Firefox-problems/ta-p/1032,https://support.mozilla.org/t5/Procedures-to-diagnose-and-fix/Troubleshoot-and-diagnose-Firefox-problems/ta-p/1032,,
,,ko,https://support.mozilla.org/kb/troubleshoot-and-diagnose-firefox-problems-ko,https://support.mozilla.org/kb/troubleshoot-and-diagnose-firefox-problems,https://support.mozilla.org/t5/Procedures-to-diagnose-and-fix/Troubleshoot-and-diagnose-Firefox-problems/ta-p/1032,https://support.mozilla.org/t5/Procedures-to-diagnose-and-fix/%EB%AC%B8%EC%A0%9C%EC%A0%90-%EC%A7%84%EB%8B%A8-%EB%B0%8F-%ED%95%B4%EA%B2%B0%EB%B0%A9%EB%B2%95/ta-p/4817,,
,,lij,https://support.mozilla.org/kb/troubleshoot-and-diagnose-firefox-problems-lij,https://support.mozilla.org/kb/troubleshoot-and-diagnose-firefox-problems,https://support.mozilla.org/t5/Procedures-to-diagnose-and-fix/Troubleshoot-and-diagnose-Firefox-problems/ta-p/1032,https://support.mozilla.org/t5/Procedures-to-diagnose-and-fix/Troubleshoot-and-diagnose-Firefox-problems/ta-p/1032,,
,,lt,https://support.mozilla.org/kb/troubleshoot-and-diagnose-firefox-problems-lt,https://support.mozilla.org/kb/troubleshoot-and-diagnose-firefox-problems,https://support.mozilla.org/t5/Procedures-to-diagnose-and-fix/Troubleshoot-and-diagnose-Firefox-problems/ta-p/1032,https://support.mozilla.org/t5/Procedures-to-diagnose-and-fix/Troubleshoot-and-diagnose-Firefox-problems/ta-p/1032,,
,,lv,https://support.mozilla.org/kb/troubleshoot-and-diagnose-firefox-problems-lv,https://support.mozilla.org/kb/troubleshoot-and-diagnose-firefox-problems,https://support.mozilla.org/t5/Procedures-to-diagnose-and-fix/Troubleshoot-and-diagnose-Firefox-problems/ta-p/1032,https://support.mozilla.org/t5/Procedures-to-diagnose-and-fix/Troubleshoot-and-diagnose-Firefox-problems/ta-p/1032,,
,,mai,https://support.mozilla.org/kb/troubleshoot-and-diagnose-firefox-problems-mai,https://support.mozilla.org/kb/troubleshoot-and-diagnose-firefox-problems,https://support.mozilla.org/t5/Procedures-to-diagnose-and-fix/Troubleshoot-and-diagnose-Firefox-problems/ta-p/1032,https://support.mozilla.org/t5/Procedures-to-diagnose-and-fix/Troubleshoot-and-diagnose-Firefox-problems/ta-p/1032,,
,,mk,https://support.mozilla.org/kb/troubleshoot-and-diagnose-firefox-problems-mk,https://support.mozilla.org/kb/troubleshoot-and-diagnose-firefox-problems,https://support.mozilla.org/t5/Procedures-to-diagnose-and-fix/Troubleshoot-and-diagnose-Firefox-problems/ta-p/1032,https://support.mozilla.org/t5/Procedures-to-diagnose-and-fix/Troubleshoot-and-diagnose-Firefox-problems/ta-p/1032,,
,,ml,https://support.mozilla.org/kb/troubleshoot-and-diagnose-firefox-problems-ml,https://support.mozilla.org/kb/troubleshoot-and-diagnose-firefox-problems,https://support.mozilla.org/t5/Procedures-to-diagnose-and-fix/Troubleshoot-and-diagnose-Firefox-problems/ta-p/1032,https://support.mozilla.org/t5/Procedures-to-diagnose-and-fix/Troubleshoot-and-diagnose-Firefox-problems/ta-p/1032,,
,,mr,https://support.mozilla.org/kb/troubleshoot-and-diagnose-firefox-problems-mr,https://support.mozilla.org/kb/troubleshoot-and-diagnose-firefox-problems,https://support.mozilla.org/t5/Procedures-to-diagnose-and-fix/Troubleshoot-and-diagnose-Firefox-problems/ta-p/1032,https://support.mozilla.org/t5/Procedures-to-diagnose-and-fix/Troubleshoot-and-diagnose-Firefox-problems/ta-p/1032,,
,,ms,https://support.mozilla.org/kb/troubleshoot-and-diagnose-firefox-problems-ms,https://support.mozilla.org/kb/troubleshoot-and-diagnose-firefox-problems,https://support.mozilla.org/t5/Procedures-to-diagnose-and-fix/Troubleshoot-and-diagnose-Firefox-problems/ta-p/1032,https://support.mozilla.org/t5/Procedures-to-diagnose-and-fix/Troubleshoot-and-diagnose-Firefox-problems/ta-p/1032,,
,,nb-NO,https://support.mozilla.org/kb/troubleshoot-and-diagnose-firefox-problems-nb-NO,https://support.mozilla.org/kb/troubleshoot-and-diagnose-firefox-problems,https://support.mozilla.org/t5/Procedures-to-diagnose-and-fix/Troubleshoot-and-diagnose-Firefox-problems/ta-p/1032,https://support.mozilla.org/t5/Procedures-to-diagnose-and-fix/Troubleshoot-and-diagnose-Firefox-problems/ta-p/1032,,
,,nl,https://support.mozilla.org/kb/troubleshoot-and-diagnose-firefox-problems-nl,https://support.mozilla.org/kb/troubleshoot-and-diagnose-firefox-problems,https://support.mozilla.org/t5/Procedures-to-diagnose-and-fix/Troubleshoot-and-diagnose-Firefox-problems/ta-p/1032,https://support.mozilla.org/t5/Procedures-to-diagnose-and-fix/Problemen-met-Firefox-analyseren-en-verhelpen/ta-p/7767,,
,,nn-NO,https://support.mozilla.org/kb/troubleshoot-and-diagnose-firefox-problems-nn-NO,https://support.mozilla.org/kb/troubleshoot-and-diagnose-firefox-problems,https://support.mozilla.org/t5/Procedures-to-diagnose-and-fix/Troubleshoot-and-diagnose-Firefox-problems/ta-p/1032,https://support.mozilla.org/t5/Procedures-to-diagnose-and-fix/Troubleshoot-and-diagnose-Firefox-problems/ta-p/1032,,
,,or,https://support.mozilla.org/kb/troubleshoot-and-diagnose-firefox-problems-or,https://support.mozilla.org/kb/troubleshoot-and-diagnose-firefox-problems,https://support.mozilla.org/t5/Procedures-to-diagnose-and-fix/Troubleshoot-and-diagnose-Firefox-problems/ta-p/1032,https://support.mozilla.org/t5/Procedures-to-diagnose-and-fix/Troubleshoot-and-diagnose-Firefox-problems/ta-p/1032,,
,,pa-IN,https://support.mozilla.org/kb/troubleshoot-and-diagnose-firefox-problems-pa-IN,https://support.mozilla.org/kb/troubleshoot-and-diagnose-firefox-problems,https://support.mozilla.org/t5/Procedures-to-diagnose-and-fix/Troubleshoot-and-diagnose-Firefox-problems/ta-p/1032,https://support.mozilla.org/t5/Procedures-to-diagnose-and-fix/Troubleshoot-and-diagnose-Firefox-problems/ta-p/1032,,
